word,colour,stim_condition,correct_res,key_resp.corr,key_resp.rt,,,
BLUE,yellow,i,y,1,0.8105025,,,
RED,yellow,i,y,1,0.8180829,,,
GREEN,yellow,i,y,1,0.6882682,,,
BLUE,red,i,r,1,1.847367,,,
GREEN,blue,i,b,1,2.050376,,,
GREEN,red,i,r,1,1.4753308,,,
YELLOW,blue,i,b,1,1.2414911,,,
YELLOW,green,i,g,1,1.3026842,,,
YELLOW,red,i,r,1,1.6093187,,,
RED,blue,i,b,1,0.6693281,,,
BLUE,green,i,g,1,1.0624342,,,
YELLOW,blue,i,b,1,0.8905346,,,
GREEN,yellow,i,y,1,1.2192523,,,
GREEN,blue,i,b,1,1.0280865,,,
BLUE,red,i,r,1,0.9079158,,,
RED,yellow,i,y,1,1.9654438,,,
BLUE,yellow,i,y,1,1.1425322,,,
RED,green,i,g,1,1.2991175,,,
BLUE,green,i,g,1,0.7055502,,,
YELLOW,green,i,g,1,0.6903821,,,
GREEN,red,i,r,1,0.8524496,,,
YELLOW,red,i,r,1,2.2069184,,,
RED,blue,i,b,1,0.7765909,,,
GREEN,red,i,r,1,1.3102509,,,
BLUE,red,i,r,1,0.9108879,,,
RED,blue,i,b,1,0.8003375,,,
GREEN,blue,i,b,1,0.5466767,,,
RED,green,i,g,1,1.1405801,,,
GREEN,yellow,i,y,1,0.6636567,,,
BLUE,green,i,g,1,0.840968,,,
YELLOW,red,i,r,1,0.9521939,,,
YELLOW,green,i,g,1,0.7812795,,,
BLUE,yellow,i,y,1,1.2695576,,,
YELLOW,blue,i,b,1,0.7532492,,,
RED,yellow,i,y,1,0.6909382,,,
YELLOW,red,i,r,1,1.142313,,,
GREEN,blue,i,b,1,0.8974078,,,
YELLOW,blue,i,b,1,0.6672497,,,
RED,yellow,i,y,1,0.7113048,,,
GREEN,red,i,r,1,0.8360176,,,
RED,green,i,g,1,0.5677578,,,
BLUE,yellow,i,y,1,0.6121421,,,
YELLOW,green,i,g,1,0.7295384,,,
BLUE,red,i,r,1,0.8512884,,,
BLUE,green,i,g,1,0.8591048,,,
RED,blue,i,b,1,1.4282957,,,
GREEN,yellow,i,y,1,0.6841412,,,
BLUE,green,i,g,1,0.7727761,,,
BLUE,red,i,r,1,0.8116131,,,
GREEN,red,i,r,1,1.709168,,,
GREEN,yellow,i,y,1,0.6844549,,,
BLUE,yellow,i,y,1,0.6373225,,,
RED,yellow,i,y,1,0.5931365,,,
GREEN,blue,i,b,1,0.784946,,,
RED,blue,i,b,1,0.5690173,,,
YELLOW,blue,i,b,1,0.5836315,,,
YELLOW,red,i,r,1,0.6938988,,,
YELLOW,green,i,g,1,0.6637974,,,
RED,green,i,g,1,0.4733881,,,
RED,blue,i,b,1,0.7588998,,,
YELLOW,green,i,g,1,0.820942,,,
GREEN,yellow,i,y,1,0.539756,,,
GREEN,red,i,r,1,0.7466946,,,
YELLOW,red,i,r,1,0.698051,,,
BLUE,yellow,i,y,1,0.6545326,,,
RED,yellow,i,y,1,0.5656901,,,
BLUE,green,i,g,1,0.6628646,,,
YELLOW,blue,i,b,1,0.595716,,,
GREEN,blue,i,b,1,0.4335614,,,
RED,green,i,g,1,0.6640321,,,
BLUE,red,i,r,1,2.0015488,,,
RED,green,i,g,1,0.7893716,,,
YELLOW,red,i,r,1,0.6926596,,,
BLUE,yellow,i,y,1,0.824624,,,
BLUE,red,i,r,1,0.832732,,,
BLUE,green,i,g,1,0.8232861,,,
GREEN,red,i,r,1,0.7903284,,,
YELLOW,green,i,g,1,0.7049903,,,
RED,yellow,i,y,1,1.0597536,,,
YELLOW,blue,i,b,1,0.7169301,,,
GREEN,yellow,i,y,1,0.9542165,,,
GREEN,blue,i,b,0,0.9836006,,,
RED,blue,i,b,1,1.821012,,,
BLUE,yellow,i,y,1,1.4851059,,,
YELLOW,red,i,r,1,1.2959452,,,
GREEN,yellow,i,y,1,0.9811378,,,
RED,yellow,i,y,1,0.7589849,,,
GREEN,red,i,r,1,0.7199315,,,
YELLOW,green,i,g,1,0.5836525,,,
RED,green,i,g,1,0.6590693,,,
BLUE,green,i,g,1,1.2201621,,,
BLUE,red,i,r,1,2.0188632,,,
GREEN,blue,i,b,1,0.8496055,,,
YELLOW,blue,i,b,1,0.4980637,,,
RED,blue,i,b,1,0.8333277,,,
GREEN,red,i,r,1,1.3362466,,,
BLUE,red,i,r,1,0.8497397,,,
RED,blue,i,b,1,0.9082559,,,
RED,yellow,i,y,1,1.4614268,,,
BLUE,green,i,g,1,0.5141952,,,
BLUE,yellow,i,y,1,0.8385772,,,
YELLOW,green,i,g,1,1.8107691,,,
RED,green,i,g,1,4.148941,,,
YELLOW,red,i,r,1,0.780015,,,
YELLOW,blue,i,b,1,1.8171091,,,
GREEN,blue,i,b,1,0.8545095,,,
GREEN,yellow,i,y,1,1.3396177,,,
RED,blue,i,b,1,1.0970762,,,
YELLOW,blue,i,b,1,1.468576,,,
RED,green,i,g,1,1.8308761,,,
BLUE,yellow,i,y,1,1.5083321,,,
RED,yellow,i,y,1,0.9790496,,,
GREEN,red,i,r,1,0.8315888,,,
